"filename", "language", "JavaScript", "HTML", "PHP", "Markdown", "JSON", "CSS", "XML", "SCSS", "YAML", "comment", "blank", "total"
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_modal.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 121, 0, 33, 27, 181
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_nav.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 76, 0, 19, 24, 119
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_navbar.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 197, 0, 47, 56, 300
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_pagination.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 62, 0, 5, 12, 79
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_popover.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 150, 0, 5, 29, 184
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_print.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 84, 0, 33, 25, 142
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_progress.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 30, 0, 0, 5, 35
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_reboot.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 264, 0, 136, 84, 484
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_root.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 13, 0, 3, 4, 20
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_tables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 122, 0, 28, 38, 188
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_tooltip.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 93, 0, 5, 18, 116
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_transitions.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 17, 0, 1, 5, 23
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_type.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 82, 0, 20, 24, 126
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_utilities.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 15, 0, 0, 1, 16
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\_variables.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 624, 0, 97, 239, 960
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\bootstrap-grid.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 20, 0, 6, 7, 33
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\bootstrap-reboot.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 4, 0, 7, 2, 13
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\bootstrap.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 35, 0, 6, 2, 43
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_alert.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 3, 14
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_background-variant.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 16, 0, 2, 4, 22
"c:\xampp\htdocs\Jaagir\public\external\scss\bootstrap\mixins\_badge.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 2, 13
